決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,1,0,11002,札幌市,1,施設001,20,1,1,2,1,0,1,1,2,2,40096755,39865278,37665299,0,0,0,0,0,0,0,100944,2099035,157644,1941391.0,229848.0,24696.0,0.0,0.0,0.0,70107.0,0.0,135045.0,32990606.0,29953495.0,4353009.0,7039403.0,98318.0,0.0,0.0,2563195.0,2067443.0,12104945.0,347907.0,1379275.0,0.0,0.0,2982845.0,2875090.0,792.0,0.0,0.0,106963.0,7158786.0,0.0,1629.0,0.0,0.0,1629.0,54266.0,0.0,54266.0,7106149.0,0.0,0.0,7106149.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12025,函館市,1,末端給水事業,20,1,2,3,1,0,3,2,1,3,4394349,4310929,4155415,163826,0,0,0,0,0,0,0,155514,24570,130944.0,50440.0,1258.0,0.0,0.0,0.0,22181.0,0.0,27001.0,4095031.0,3703779.0,656538.0,740466.0,0.0,0.0,0.0,540813.0,393419.0,1352301.0,20242.0,0.0,0.0,0.0,352710.0,349562.0,0.0,0.0,0.0,3148.0,304880.0,0.0,32980.0,0.0,13021.0,19959.0,38542.0,0.0,38542.0,299318.0,0.0,643313.0,942631.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12033,小樽市,1,水道事業,20,1,1,3,1,0,4,2,2,2,2751655,2646014,2455055,0,0,0,0,0,0,0,0,190959,16368,174591.0,104964.0,151.0,0.0,0.0,0.0,53410.0,0.0,51403.0,2329116.0,1904678.0,403309.0,184746.0,0.0,0.0,0.0,213596.0,119955.0,939131.0,43941.0,0.0,0.0,0.0,407417.0,364501.0,0.0,0.0,39700.0,3216.0,438883.0,0.0,677.0,0.0,677.0,0.0,17021.0,0.0,17021.0,422539.0,0.0,0.0,422539.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12041,旭川市,1,末端給水事業,20,1,1,3,1,0,2,2,2,3,5470548,5042076,4959378,0,0,0,0,0,0,0,0,82698,48005,34693.0,428448.0,0.0,1952.0,0.0,0.0,304675.0,0.0,121821.0,5048961.0,4256577.0,721677.0,458083.0,0.0,0.0,0.0,198772.0,286534.0,2451649.0,139862.0,0.0,0.0,0.0,732645.0,729777.0,0.0,1834.0,0.0,1034.0,481302.0,0.0,24.0,0.0,23.0,1.0,59739.0,0.0,59739.0,421587.0,0.0,-1956514.0,-1534927.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12050,室蘭市,1,末端給水事業,20,1,1,3,1,0,5,2,1,2,1751618,1595767,1488450,0,0,0,0,0,0,0,21705,85612,207,85405.0,155019.0,1363.0,0.0,0.0,0.0,10505.0,0.0,143151.0,1607273.0,1423808.0,222572.0,187659.0,20186.0,0.0,0.0,88100.0,186611.0,682873.0,35807.0,0.0,0.0,0.0,180926.0,180327.0,0.0,0.0,0.0,599.0,146052.0,0.0,832.0,0.0,832.0,0.0,2539.0,0.0,2539.0,144345.0,0.0,1322862.0,1467207.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12068,釧路市,1,末端給水事業,20,1,2,3,1,0,3,2,1,2,4130819,4021305,3590124,181559,0,0,0,0,0,0,44568,386613,21627,364986.0,109514.0,970.0,0.0,0.0,0.0,96693.0,0.0,11851.0,3915279.0,3501593.0,536526.0,209684.0,29071.0,0.0,0.0,222227.0,654261.0,1683690.0,166134.0,0.0,0.0,0.0,413686.0,370665.0,0.0,0.0,0.0,43021.0,215540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215540.0,0.0,694179.0,909719.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12076,帯広市,1,帯広市水道事業,20,1,1,3,1,0,3,2,3,2,3964393,3930493,3538216,0,0,0,0,0,0,0,0,392277,11743,380534.0,33900.0,499.0,0.0,0.0,0.0,5441.0,0.0,27960.0,3377005.0,2993814.0,1294164.0,185850.0,0.0,0.0,0.0,245772.0,165244.0,1008581.0,94203.0,0.0,0.0,0.0,383191.0,366781.0,0.0,0.0,0.0,16410.0,587388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587388.0,0.0,0.0,587388.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12084,北見市,1,末端給水事業,20,1,2,3,1,0,4,2,2,2,2726827,2463259,2339337,181041,0,0,0,0,0,0,17663,106259,12205,94054.0,263568.0,4456.0,0.0,0.0,0.0,224659.0,0.0,34453.0,2606334.0,2253535.0,520759.0,417717.0,12363.0,0.0,0.0,191960.0,159395.0,923041.0,28300.0,0.0,0.0,0.0,351146.0,350783.0,0.0,0.0,0.0,363.0,122146.0,0.0,0.0,0.0,0.0,0.0,1653.0,0.0,1653.0,120493.0,0.0,186211.0,306704.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12092,夕張市,1,水道施設,20,1,1,3,1,0,9,2,2,1,342122,330250,327556,0,0,0,0,0,0,0,0,2694,0,2694.0,11872.0,1.0,0.0,0.0,0.0,11130.0,0.0,741.0,337108.0,295314.0,14343.0,15340.0,0.0,0.0,0.0,122953.0,0.0,128853.0,13825.0,0.0,0.0,0.0,33702.0,23589.0,0.0,0.0,9100.0,1013.0,13106.0,0.0,0.0,0.0,0.0,0.0,8092.0,0.0,8092.0,5014.0,0.0,39137.0,44151.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12106,岩見沢市,1,001,20,1,1,3,1,0,5,2,5,3,1718669,1596487,1536484,0,0,0,0,0,0,0,0,60003,0,60003.0,122111.0,1.0,0.0,0.0,0.0,100000.0,0.0,22110.0,1378802.0,1178550.0,334451.0,200288.0,0.0,0.0,0.0,83883.0,62721.0,461481.0,35726.0,0.0,0.0,0.0,180500.0,171437.0,0.0,0.0,0.0,9063.0,359548.0,0.0,71.0,0.0,0.0,71.0,19752.0,0.0,19752.0,339867.0,0.0,38459.0,378326.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
