決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,1,0,11002,札幌市,1,施設001,25,1,1,2,1,0,1,1,2,2,2518,209,943557,473118,79220,2288,317745,73865,1416675,10343,4999,4485,374,1534296,835645,176083,5110,504500,149952,2369941,17212,7175,85,7,29337,12010,1798,6,8628,1578,41347,423,149,337,28,111426,51169,11047,251,31595,8276.0,162595.0,1554.0,461.0,7425.0,618.0,2618616.0,1371942.0,268148.0,7655.0,862468.0,233671.0,3990558.0,29532.0,12784.0,2442183.0,99344.0,77089.0,,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12025,函館市,1,末端給水事業,25,1,2,3,1,0,3,2,1,3,493,42,152577,73834,6566,0,52600,14668,226411,1836,835,913,76,298798,154588,24203,0,102060,28325,453386,3356,1622,0,0,0,0,0,0,0,0,0,0,0,104,8,37316,17813,926,0,12895,3992.0,55129.0,416.0,196.0,1510.0,126.0,488691.0,246235.0,31695.0,0.0,167555.0,46985.0,734926.0,5608.0,2653.0,466866.0,21825.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12033,小樽市,1,水道事業,25,1,1,3,1,0,4,2,2,2,168,14,47923,22899,2312,0,15994,4593,70822,593,247,408,34,142238,65955,4871,0,49870,11214,208193,1624,918,0,0,0,0,0,0,0,0,0,0,0,168,14,54062,20462,1059,0,17025,2378.0,74524.0,788.0,382.0,744.0,62.0,244223.0,109316.0,8242.0,0.0,82889.0,18185.0,353539.0,3005.0,1547.0,233457.0,10766.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12041,旭川市,1,末端給水事業,25,1,1,3,1,0,2,2,2,3,405,33,124312,55548,3371,230,42733,9214,179860,1350,613,756,63,264336,131737,10609,828,92882,27418,396073,2839,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1161.0,96.0,388648.0,187285.0,13980.0,1058.0,135615.0,36632.0,575933.0,4189.0,2018.0,377541.0,11107.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12050,室蘭市,1,末端給水事業,25,1,1,3,1,0,5,2,1,2,72,6,26447,14520,1669,0,10437,2414,40967,313,199,276,23,89771,51263,8065,671,33246,9281,141034,997,454,36,3,9880,5609,1244,107,3412,846,15489,112,41,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,384.0,32.0,126098.0,71392.0,10978.0,778.0,47095.0,12541.0,197490.0,1422.0,694.0,122925.0,3173.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12068,釧路市,1,末端給水事業,25,1,2,3,1,0,3,2,1,2,294,24,95930,49066,3077,13,34027,11949,144996,1178,664,684,57,229244,121559,14480,806,81802,24471,350803,2704,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,978.0,81.0,325174.0,170625.0,17557.0,819.0,115829.0,36420.0,495799.0,3882.0,2047.0,314896.0,10278.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12076,帯広市,1,帯広市水道事業,25,1,1,3,1,0,3,2,3,2,252,21,66450,33983,4909,0,23554,5520,100433,829,362,396,33,148191,69296,3786,0,52817,12693,217487,1669,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,648.0,54.0,214641.0,103279.0,8695.0,0.0,76371.0,18213.0,317920.0,2498.0,1259.0,207095.0,7546.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12084,北見市,1,末端給水事業,25,1,2,3,1,0,4,2,2,2,156,13,54218,27817,2427,0,18336,7054,82035,593,299,348,29,110633,55543,6645,0,37198,11700,166176,1192,551,48,4,18183,8138,559,0,6265,1314,26321,206,121,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,552.0,46.0,183034.0,91498.0,9631.0,0.0,61799.0,20068.0,274532.0,1991.0,971.0,174478.0,8556.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12092,夕張市,1,水道施設,25,1,1,3,1,0,9,2,2,1,24,2,6003,3342,852,0,1571,919,9345,85,35,24,2,5158,1994,204,0,1341,449,7152,72,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48.0,4.0,11161.0,5336.0,1056.0,0.0,2912.0,1368.0,16497.0,157.0,57.0,10985.0,176.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2013,46,1,0,12106,岩見沢市,1,001,25,1,1,3,1,0,5,2,5,3,108,9,32415,16686,2681,0,11609,2396,49101,368,185,132,11,44225,24080,3757,0,16131,4192,68305,480,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,240.0,20.0,76640.0,40766.0,6438.0,0.0,27740.0,6588.0,117406.0,848.0,418.0,72801.0,3839.0,0.0,,,,,,,,,,,,,,,,,,,,,,
